"original","sandp"
atus_20190731_10q_0.xml,atus_20190731_10q_1.xml
gww_20191023_10q_0.xml,gww_20191023_10q_1.xml
rpt_20200511_10q_1.xml,rpt_20200511_10q_1.xml
burl_20200529_10q_0.xml,burl_20200529_10q_0.xml
alb_20190807_10q_1.xml,alb_20190807_10q_0.xml
ayx_20190801_10q_0.xml,ayx_20190801_10q_0.xml
glt_20200505_10q_0.xml,glt_20200505_10q_0.xml
omf_20190802_10q_1.xml,omf_20190802_10q_0.xml
aan_20190725_10q_0.xml,aan_20190725_10q_1.xml
hal_20200424_10q_0.xml,hal_20200424_10q_1.xml
xhr_20190801_10q_1.xml,xhr_20190801_10q_1.xml
apa_20191031_10q_0.xml,apa_20191031_10q_1.xml
mei_20191205_10q_0.xml,mei_20191205_10q_1.xml
krc_20190725_10q_1.xml,krc_20190725_10q_1.xml
slb_20190724_10q_1.xml,slb_20190724_10q_0.xml
pfs_20200511_10q_0.xml,pfs_20200511_10q_1.xml
avb_20190806_10q_0.xml,avb_20190806_10q_1.xml
wd_20190807_10q_1.xml,wd_20190807_10q_0.xml
yumc_20190805_10q_1.xml,yumc_20190805_10q_1.xml
mwa_20190507_10q_1.xml,mwa_20190507_10q_1.xml
deck_20190808_10q_1.xml,deck_20190808_10q_0.xml
jef_20200408_10q_0.xml,jef_20200408_10q_0.xml
lhx_20200507_10q_1.xml,lhx_20200507_10q_0.xml
trv_20191022_10q_0.xml,trv_20191022_10q_0.xml
arlo_20190806_10q_1.xml,arlo_20190806_10q_0.xml
mcd_20191104_10q_0.xml,mcd_20191104_10q_1.xml
efc_20200521_10q_0.xml,efc_20200521_10q_1.xml
aiv_20200511_10q_1.xml,aiv_20200511_10q_0.xml
fbm_20200511_10q_0.xml,fbm_20200511_10q_1.xml
mpx_20190731_10q_1.xml,mpx_20190731_10q_0.xml
pack_20190813_10q_1.xml,pack_20190813_10q_1.xml
kmx_20200107_10q_1.xml,kmx_20200107_10q_0.xml
tt_20190805_10q_1.xml,tt_20190805_10q_0.xml
sc_20200501_10q_0.xml,sc_20200501_10q_1.xml
cbt_20200206_10q_1.xml,cbt_20200206_10q_0.xml
ko_20191024_10q_0.xml,ko_20191024_10q_0.xml
hpe_20200309_10q_1.xml,hpe_20200309_10q_0.xml
serv_20191106_10q_0.xml,serv_20191106_10q_1.xml
mkc_20190628_10q_1.xml,mkc_20190628_10q_0.xml
tph_20190725_10q_1.xml,tph_20190725_10q_1.xml
bsm_20190806_10q_0.xml,bsm_20190806_10q_0.xml
argo_20200508_10q_0.xml,argo_20200508_10q_1.xml
wec_20191107_10q_0.xml,wec_20191107_10q_0.xml
mas_20190425_10q_1.xml,mas_20190425_10q_1.xml
vno_20190729_10q_1.xml,vno_20190729_10q_1.xml
dnow_20200506_10q_0.xml,dnow_20200506_10q_1.xml
pvh_20190906_10q_1.xml,pvh_20190906_10q_1.xml
wtm_20200508_10q_1.xml,wtm_20200508_10q_0.xml
asix_20190503_10q_1.xml,asix_20190503_10q_0.xml
rh_20191205_10q_0.xml,rh_20191205_10q_0.xml
axl_20191101_10q_0.xml,axl_20191101_10q_0.xml
hubb_20191030_10q_0.xml,hubb_20191030_10q_0.xml
ajrd_20190731_10q_0.xml,ajrd_20190731_10q_1.xml
vvi_20190802_10q_1.xml,vvi_20190802_10q_0.xml
dbd_20200505_10q_1.xml,dbd_20200505_10q_1.xml
site_20191030_10q_0.xml,site_20191030_10q_0.xml
usac_20190806_10q_1.xml,usac_20190806_10q_1.xml
qep_20191023_10q_0.xml,qep_20191023_10q_1.xml
st_20200429_10q_0.xml,st_20200429_10q_0.xml
ora_20200511_10q_0.xml,ora_20200511_10q_0.xml
clx_20200204_10q_1.xml,clx_20200204_10q_1.xml
dlb_20190508_10q_1.xml,dlb_20190508_10q_0.xml
rol_20200430_10q_1.xml,rol_20200430_10q_0.xml
carr_20200511_10q_1.xml,carr_20200511_10q_1.xml
hpe_20200602_10q_0.xml,hpe_20200602_10q_0.xml
bdn_20190806_10q_1.xml,bdn_20190806_10q_1.xml
wnc_20191106_10q_0.xml,wnc_20191106_10q_0.xml
imax_20191031_10q_0.xml,imax_20191031_10q_0.xml
etm_20190809_10q_1.xml,etm_20190809_10q_0.xml
brbr_20200508_10q_0.xml,brbr_20200508_10q_0.xml
fdp_20200429_10q_0.xml,fdp_20200429_10q_0.xml
swx_20200507_10q_0.xml,swx_20200507_10q_0.xml
lii_20191021_10q_0.xml,lii_20191021_10q_0.xml
msci_20191031_10q_1.xml,msci_20191031_10q_1.xml
sbh_20200206_10q_1.xml,sbh_20200206_10q_0.xml
nwe_20200423_10q_1.xml,nwe_20200423_10q_0.xml
air_20190926_10q_1.xml,air_20190926_10q_1.xml
bfam_20191106_10q_0.xml,bfam_20191106_10q_0.xml
ph_20200506_10q_0.xml,ph_20200506_10q_1.xml
extn_20191105_10q_0.xml,extn_20191105_10q_0.xml
rs_20190801_10q_1.xml,rs_20190801_10q_0.xml
slg_20190808_10q_1.xml,slg_20190808_10q_1.xml
oge_20200507_10q_1.xml,oge_20200507_10q_0.xml
mr_20191108_10q_0.xml,mr_20191108_10q_1.xml
lin_20191112_10q_0.xml,lin_20191112_10q_0.xml
knx_20190807_10q_0.xml,knx_20190807_10q_1.xml
int_20191031_10q_0.xml,int_20191031_10q_0.xml
qts_20200504_10q_1.xml,qts_20200504_10q_0.xml
pnm_20190802_10q_0.xml,pnm_20190802_10q_1.xml
mms_20190808_10q_0.xml,mms_20190808_10q_0.xml
cspr_20200512_10q_1.xml,cspr_20200512_10q_1.xml
clb_20200424_10q_1.xml,clb_20200424_10q_1.xml
elc_20191105_10q_0.xml,elc_20191105_10q_0.xml
l_20190805_10q_1.xml,l_20190805_10q_0.xml
jll_20191106_10q_0.xml,jll_20191106_10q_1.xml
nwn_20191105_10q_0.xml,nwn_20191105_10q_1.xml
wex_20190809_10q_1.xml,wex_20190809_10q_0.xml
earn_20200511_10q_0.xml,earn_20200511_10q_1.xml
omc_20191015_10q_0.xml,omc_20191015_10q_0.xml
ba_20191023_10q_0.xml,ba_20191023_10q_0.xml
mms_20200507_10q_0.xml,mms_20200507_10q_1.xml
alb_20190508_10q_0.xml,alb_20190508_10q_0.xml
pxd_20191106_10q_0.xml,pxd_20191106_10q_1.xml
chh_20200511_10q_1.xml,chh_20200511_10q_1.xml
nbhc_20190807_10q_1.xml,nbhc_20190807_10q_1.xml
ibp_20190808_10q_1.xml,ibp_20190808_10q_1.xml
hp_20200504_10q_0.xml,hp_20200504_10q_1.xml
vne_20190726_10q_1.xml,vne_20190726_10q_0.xml
mmc_20191030_10q_0.xml,mmc_20191030_10q_1.xml
dkl_20181109_10q_1.xml,dkl_20181109_10q_1.xml
kamn_20200511_10q_0.xml,kamn_20200511_10q_1.xml
cc_20191105_10q_0.xml,cc_20191105_10q_0.xml
peak_20191031_10q_0.xml,peak_20191031_10q_0.xml
cmi_20190730_10q_1.xml,cmi_20190730_10q_0.xml
frt_20190801_10q_0.xml,frt_20190801_10q_1.xml
rnr_20191030_10q_0.xml,rnr_20191030_10q_1.xml
smar_20190910_10q_1.xml,smar_20190910_10q_0.xml
rvi_20191105_10q_0.xml,rvi_20191105_10q_1.xml
ares_20191106_10q_0.xml,ares_20191106_10q_1.xml
pjt_20190802_10q_1.xml,pjt_20190802_10q_0.xml
msi_20190802_10q_0.xml,msi_20190802_10q_0.xml
sr_20190730_10q_0.xml,sr_20190730_10q_1.xml
sem_20191031_10q_0.xml,sem_20191031_10q_1.xml
ping_20191113_10q_0.xml,ping_20191113_10q_1.xml
asix_20190801_10q_0.xml,asix_20190801_10q_1.xml
trex_20191028_10q_0.xml,trex_20191028_10q_0.xml
sah_20190426_10q_1.xml,sah_20190426_10q_1.xml
sail_20191106_10q_0.xml,sail_20191106_10q_1.xml
wwe_20191031_10q_0.xml,wwe_20191031_10q_1.xml
fun_20190807_10q_0.xml,fun_20190807_10q_1.xml
itt_20191101_10q_0.xml,itt_20191101_10q_1.xml
hl_20191107_10q_0.xml,hl_20191107_10q_1.xml
nly_20190802_10q_1.xml,nly_20190802_10q_0.xml
ful_20200326_10q_1.xml,ful_20200326_10q_0.xml
syf_20191025_10q_0.xml,syf_20191025_10q_0.xml
bj_20200529_10q_1.xml,bj_20200529_10q_1.xml
el_20191031_10q_0.xml,el_20191031_10q_1.xml
dre_20190802_10q_1.xml,dre_20190802_10q_1.xml
dds_20190911_10q_1.xml,dds_20190911_10q_0.xml
aptv_20190731_10q_1.xml,aptv_20190731_10q_0.xml
gnc_20200511_10q_0.xml,gnc_20200511_10q_1.xml
phm_20190423_10q_1.xml,phm_20190423_10q_1.xml
myov_20191112_10q_0.xml,myov_20191112_10q_1.xml
acco_20200505_10q_0.xml,acco_20200505_10q_1.xml
cts_20190725_10q_0.xml,cts_20190725_10q_1.xml
rlh_20200508_10q_1.xml,rlh_20200508_10q_1.xml
fet_20200508_10q_0.xml,fet_20200508_10q_1.xml
nsco_20200507_10q_0.xml,nsco_20200507_10q_1.xml
cxw_20190806_10q_1.xml,cxw_20190806_10q_0.xml
wst_20191029_10q_1.xml,wst_20191029_10q_0.xml
dxc_20190809_10q_1.xml,dxc_20190809_10q_0.xml
bpmp_20200508_10q_1.xml,bpmp_20200508_10q_0.xml
nbhc_20200505_10q_0.xml,nbhc_20200505_10q_1.xml
mro_20200507_10q_0.xml,mro_20200507_10q_1.xml
cb_20191031_10q_0.xml,cb_20191031_10q_0.xml
vntr_20191106_10q_0.xml,vntr_20191106_10q_0.xml
cbz_20200508_10q_0.xml,cbz_20200508_10q_1.xml
ppx_20190806_10q_1.xml,ppx_20190806_10q_0.xml
ua_20190509_10q_0.xml,ua_20190509_10q_1.xml
www_20190807_10q_1.xml,www_20190807_10q_0.xml
plnt_20190808_10q_1.xml,plnt_20190808_10q_0.xml
int_20190726_10q_1.xml,int_20190726_10q_1.xml
jbgs_20191105_10q_0.xml,jbgs_20191105_10q_0.xml
tup_20191106_10q_0.xml,tup_20191106_10q_0.xml
bg_20191030_10q_0.xml,bg_20191030_10q_1.xml
cnx_20190430_10q_0.xml,cnx_20190430_10q_0.xml
esnt_20191108_10q_0.xml,esnt_20191108_10q_0.xml
es_20200508_10q_1.xml,es_20200508_10q_1.xml
irt_20190801_10q_0.xml,irt_20190801_10q_1.xml
ccr_20190806_10q_0.xml,ccr_20190806_10q_0.xml
dfin_20190502_10q_0.xml,dfin_20190502_10q_0.xml
avya_20200511_10q_1.xml,avya_20200511_10q_0.xml
sci_20190730_10q_0.xml,sci_20190730_10q_1.xml
elan_20191108_10q_0.xml,elan_20191108_10q_1.xml
fet_20191030_10q_0.xml,fet_20191030_10q_1.xml
prgo_20200505_10q_0.xml,prgo_20200505_10q_0.xml
cbu_20190809_10q_1.xml,cbu_20190809_10q_0.xml
dpz_20190716_10q_1.xml,dpz_20190716_10q_0.xml
fi_20200511_10q_0.xml,fi_20200511_10q_0.xml
fdx_20191217_10q_0.xml,fdx_20191217_10q_0.xml
flo_20190515_10q_1.xml,flo_20190515_10q_1.xml
lii_20190722_10q_1.xml,lii_20190722_10q_0.xml
mdp_20200519_10q_1.xml,mdp_20200519_10q_1.xml
pdm_20200429_10q_0.xml,pdm_20200429_10q_0.xml
esrt_20200506_10q_1.xml,esrt_20200506_10q_0.xml
iipr_20200507_10q_1.xml,iipr_20200507_10q_1.xml
vtr_20200508_10q_1.xml,vtr_20200508_10q_0.xml
mkl_20200428_10q_0.xml,mkl_20200428_10q_0.xml
wre_20200427_10q_1.xml,wre_20200427_10q_0.xml
ohi_20200508_10q_1.xml,ohi_20200508_10q_1.xml
glt_20191030_10q_0.xml,glt_20191030_10q_0.xml
asgn_20191108_10q_0.xml,asgn_20191108_10q_1.xml
ver_20190807_10q_0.xml,ver_20190807_10q_0.xml
psb_20190726_10q_0.xml,psb_20190726_10q_1.xml
mli_20200422_10q_0.xml,mli_20200422_10q_0.xml
saic_20190606_10q_1.xml,saic_20190606_10q_0.xml
y_20190806_10q_1.xml,y_20190806_10q_1.xml
flow_20191031_10q_0.xml,flow_20191031_10q_1.xml
nwe_20190724_10q_0.xml,nwe_20190724_10q_1.xml
pack_20200511_10q_0.xml,pack_20200511_10q_0.xml
cim_20191031_10q_0.xml,cim_20191031_10q_0.xml
hgh_20190801_10q_0.xml,hgh_20190801_10q_0.xml
et_20190808_10q_1.xml,et_20190808_10q_0.xml
cmsc_20190725_10q_0.xml,cmsc_20190725_10q_1.xml
bkh_20190806_10q_1.xml,bkh_20190806_10q_0.xml
evrg_20191106_10q_0.xml,evrg_20191106_10q_0.xml
gpi_20190802_10q_1.xml,gpi_20190802_10q_1.xml
leg_20191105_10q_0.xml,leg_20191105_10q_0.xml
tol_20190308_10q_1.xml,tol_20190308_10q_0.xml
ths_20191107_10q_0.xml,ths_20191107_10q_0.xml
enb_20190510_10q_0.xml,enb_20190510_10q_0.xml
dell_20190910_10q_0.xml,dell_20190910_10q_0.xml
gms_20190829_10q_0.xml,gms_20190829_10q_1.xml
tco_20191030_10q_1.xml,tco_20191030_10q_0.xml
eme_20190730_10q_1.xml,eme_20190730_10q_1.xml
dvn_20190501_10q_0.xml,dvn_20190501_10q_0.xml
ibm_20191029_10q_0.xml,ibm_20191029_10q_0.xml
golf_20191031_10q_0.xml,golf_20191031_10q_1.xml
k_20191030_10q_0.xml,k_20191030_10q_1.xml
rga_20190802_10q_1.xml,rga_20190802_10q_1.xml
vgr_20200511_10q_0.xml,vgr_20200511_10q_0.xml
fsly_20200508_10q_1.xml,fsly_20200508_10q_1.xml
scl_20190731_10q_1.xml,scl_20190731_10q_0.xml
vsto_20200206_10q_1.xml,vsto_20200206_10q_1.xml
acel_20200511_10q_0.xml,acel_20200511_10q_1.xml
xan_20200511_10q_0.xml,xan_20200511_10q_1.xml
snv_20190802_10q_1.xml,snv_20190802_10q_0.xml
uve_20190802_10q_0.xml,uve_20190802_10q_1.xml
vmi_20200429_10q_0.xml,vmi_20200429_10q_0.xml
abt_20190731_10q_1.xml,abt_20190731_10q_0.xml
aep_20191024_10q_0.xml,aep_20191024_10q_0.xml
ago_20190510_10q_1.xml,ago_20190510_10q_0.xml
cmsd_20191024_10q_0.xml,cmsd_20191024_10q_0.xml
clx_20190501_10q_0.xml,clx_20190501_10q_1.xml
hbi_20190802_10q_0.xml,hbi_20190802_10q_0.xml
rpai_20200506_10q_0.xml,rpai_20200506_10q_1.xml
msa_20200430_10q_0.xml,msa_20200430_10q_0.xml
tdc_20190506_10q_0.xml,tdc_20190506_10q_0.xml
dfs_20190801_10q_1.xml,dfs_20190801_10q_0.xml
ceqp_20200507_10q_0.xml,ceqp_20200507_10q_1.xml
stor_20200507_10q_1.xml,stor_20200507_10q_1.xml
fix_20190725_10q_1.xml,fix_20190725_10q_0.xml
box_20190906_10q_1.xml,box_20190906_10q_0.xml
fcpt_20200508_10q_0.xml,fcpt_20200508_10q_1.xml
cw_20200507_10q_0.xml,cw_20200507_10q_0.xml
cr_20190730_10q_1.xml,cr_20190730_10q_0.xml
cio_20200507_10q_0.xml,cio_20200507_10q_0.xml
wow_20200504_10q_1.xml,wow_20200504_10q_0.xml
dgx_20200504_10q_1.xml,dgx_20200504_10q_0.xml
an_20190723_10q_0.xml,an_20190723_10q_1.xml
gwb_20200430_10q_0.xml,gwb_20200430_10q_0.xml
atkr_20190807_10q_1.xml,atkr_20190807_10q_1.xml
cabo_20190808_10q_1.xml,cabo_20190808_10q_0.xml
fe_20191104_10q_0.xml,fe_20191104_10q_0.xml
axl_20200508_10q_0.xml,axl_20200508_10q_1.xml
dell_20200608_10q_0.xml,dell_20200608_10q_1.xml
hun_20191025_10q_0.xml,hun_20191025_10q_0.xml
br_20200131_10q_1.xml,br_20200131_10q_1.xml
med_20200506_10q_1.xml,med_20200506_10q_1.xml
nvro_20190808_10q_1.xml,nvro_20190808_10q_1.xml
rexr_20191101_10q_0.xml,rexr_20191101_10q_0.xml
egp_20191025_10q_0.xml,egp_20191025_10q_0.xml
ipg_20190725_10q_1.xml,ipg_20190725_10q_0.xml
csl_20190425_10q_1.xml,csl_20190425_10q_1.xml
lad_20200424_10q_1.xml,lad_20200424_10q_1.xml
seas_20191107_10q_0.xml,seas_20191107_10q_1.xml
cp_20191024_10q_0.xml,cp_20191024_10q_1.xml
dcp_20191107_10q_0.xml,dcp_20191107_10q_0.xml
cxw_20190509_10q_0.xml,cxw_20190509_10q_0.xml
ma_20191029_10q_0.xml,ma_20191029_10q_1.xml
invh_20191030_10q_0.xml,invh_20191030_10q_0.xml
btu_20191105_10q_0.xml,btu_20191105_10q_0.xml
sph_20200206_10q_1.xml,sph_20200206_10q_0.xml
wat_20191030_10q_0.xml,wat_20191030_10q_1.xml
aos_20191106_10q_0.xml,aos_20191106_10q_0.xml
abc_20200130_10q_1.xml,abc_20200130_10q_1.xml
clgx_20191024_10q_0.xml,clgx_20191024_10q_0.xml
phm_20200423_10q_0.xml,phm_20200423_10q_1.xml
codi_20190731_10q_1.xml,codi_20190731_10q_1.xml
lly_20191025_10q_1.xml,lly_20191025_10q_1.xml
alv_20190719_10q_1.xml,alv_20190719_10q_1.xml
jbl_20200401_10q_0.xml,jbl_20200401_10q_1.xml
abc_20200507_10q_0.xml,abc_20200507_10q_1.xml
amg_20200504_10q_0.xml,amg_20200504_10q_1.xml
ste_20190807_10q_1.xml,ste_20190807_10q_0.xml
efx_20191024_10q_0.xml,efx_20191024_10q_0.xml
cty_20200508_10q_1.xml,cty_20200508_10q_0.xml
sri_20200506_10q_0.xml,sri_20200506_10q_1.xml
oc_20190724_10q_1.xml,oc_20190724_10q_1.xml
bgs_20200506_10q_0.xml,bgs_20200506_10q_1.xml
len_20191008_10q_0.xml,len_20191008_10q_0.xml
dea_20191106_10q_1.xml,dea_20191106_10q_1.xml
kai_20190807_10q_1.xml,kai_20190807_10q_1.xml
drq_20200506_10q_0.xml,drq_20200506_10q_0.xml
srg_20190802_10q_0.xml,srg_20190802_10q_1.xml
cub_20200205_10q_1.xml,cub_20200205_10q_0.xml
amn_20191104_10q_0.xml,amn_20191104_10q_0.xml
sjm_20200227_10q_0.xml,sjm_20200227_10q_1.xml
tsq_20191108_10q_0.xml,tsq_20191108_10q_1.xml
aroc_20190430_10q_0.xml,aroc_20190430_10q_1.xml
swch_20200511_10q_1.xml,swch_20200511_10q_0.xml
tfx_20190801_10q_1.xml,tfx_20190801_10q_0.xml
clx_20200501_10q_1.xml,clx_20200501_10q_1.xml
trtx_20191028_10q_0.xml,trtx_20191028_10q_0.xml
mov_20190828_10q_0.xml,mov_20190828_10q_1.xml
ccs_20200430_10q_0.xml,ccs_20200430_10q_1.xml
abbv_20191106_10q_0.xml,abbv_20191106_10q_1.xml
wbs_20190805_10q_1.xml,wbs_20190805_10q_0.xml
sstk_20190806_10q_1.xml,sstk_20190806_10q_0.xml
evtc_20190802_10q_1.xml,evtc_20190802_10q_0.xml
shak_20200504_10q_1.xml,shak_20200504_10q_0.xml
agco_20190509_10q_0.xml,agco_20190509_10q_1.xml
rjf_20200508_10q_0.xml,rjf_20200508_10q_0.xml
pnr_20190723_10q_1.xml,pnr_20190723_10q_0.xml
tds_20191031_10q_0.xml,tds_20191031_10q_0.xml
pdm_20190501_10q_1.xml,pdm_20190501_10q_0.xml
flr_20190801_10q_0.xml,flr_20190801_10q_0.xml
nee_20200423_10q_1.xml,nee_20200423_10q_0.xml
aca_20191031_10q_0.xml,aca_20191031_10q_1.xml
cnxm_20191029_10q_0.xml,cnxm_20191029_10q_1.xml
ckh_20191029_10q_0.xml,ckh_20191029_10q_0.xml
avy_20200501_10q_0.xml,avy_20200501_10q_0.xml
psx_20190726_10q_1.xml,psx_20190726_10q_1.xml
bsig_20190809_10q_1.xml,bsig_20190809_10q_1.xml
cco_20200506_10q_1.xml,cco_20200506_10q_1.xml
np_20191106_10q_0.xml,np_20191106_10q_0.xml
sui_20190425_10q_1.xml,sui_20190425_10q_1.xml
afg_20200511_10q_0.xml,afg_20200511_10q_0.xml
mmp_20200501_10q_0.xml,mmp_20200501_10q_0.xml
pag_20191030_10q_0.xml,pag_20191030_10q_0.xml
gbx_20200108_10q_1.xml,gbx_20200108_10q_0.xml
zuo_20200608_10q_1.xml,zuo_20200608_10q_1.xml
mro_20190808_10q_1.xml,mro_20190808_10q_0.xml
dci_20191206_10q_0.xml,dci_20191206_10q_1.xml
bfs_20200506_10q_1.xml,bfs_20200506_10q_0.xml
dy_20190829_10q_0.xml,dy_20190829_10q_1.xml
fti_20190808_10q_0.xml,fti_20190808_10q_0.xml
pwr_20190802_10q_1.xml,pwr_20190802_10q_0.xml
ui_20200508_10q_0.xml,ui_20200508_10q_0.xml
rgs_20200204_10q_1.xml,rgs_20200204_10q_0.xml
skt_20200511_10q_0.xml,skt_20200511_10q_1.xml
bery_20200501_10q_0.xml,bery_20200501_10q_0.xml
wcn_20191029_10q_0.xml,wcn_20191029_10q_0.xml
vcra_20200504_10q_1.xml,vcra_20200504_10q_1.xml
boh_20191028_10q_0.xml,boh_20191028_10q_1.xml
asb_20191031_10q_0.xml,asb_20191031_10q_1.xml
cri_20190725_10q_1.xml,cri_20190725_10q_0.xml
cabo_20191108_10q_1.xml,cabo_20191108_10q_1.xml
wy_20200501_10q_0.xml,wy_20200501_10q_1.xml
trgp_20191107_10q_0.xml,trgp_20191107_10q_0.xml
it_20190730_10q_1.xml,it_20190730_10q_1.xml
tho_20200608_10q_0.xml,tho_20200608_10q_1.xml
qts_20191112_10q_1.xml,qts_20191112_10q_1.xml
